ID,Name,Sex,Age,Height,Weight,Sport,Event,Medal
16,Juhamatti Tapio Aaltonen,M,28,184,85,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
17,Paavo Johannes Aaltonen,M,28,175,64,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
30,Pepijn Aardewijn,M,26,189,72,Rowing,Rowing Men's Lightweight Double Sculls,Silver
37,Ann Kristin Aarnes,F,23,182,64,Football,Football Women's Football,Bronze
62,Giovanni Abagnale,M,21,198,90,Rowing,Rowing Men's Coxless Pairs,Bronze
63,Jos Luis Abajo Gmez,M,30,194,87,Fencing,"Fencing Men's epee, Individual",Bronze
65,Patimat Abakarova,F,21,165,49,Taekwondo,Taekwondo Women's Flyweight,Bronze
67,Mariya Vasilyevna Abakumova (-Tarabina),F,22,179,80,Athletics,Athletics Women's Javelin Throw,Silver
73,Luc Abalo,M,23,182,86,Handball,Handball Men's Handball,Gold
76,Jouan Patrice Abanda Etong,M,22,185,82,Football,Football Men's Football,Gold
80,Jos Mara Abarca Plotas,M,22,186,83,Water Polo,Water Polo Men's Water Polo,Gold
84,Stephen Anthony Abas,M,26,165,55,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
90,Tamila Rashidovna Abasova,F,21,163,60,Cycling,Cycling Women's Sprint,Silver
99,Pter Abay,M,30,181,79,Fencing,"Fencing Men's Sabre, Team",Silver
106,Agostino Abbagnale,M,22,188,96,Rowing,Rowing Men's Quadruple Sculls,Gold
107,Carmine Abbagnale,M,22,182,90,Rowing,Rowing Men's Coxed Pairs,Gold
143,"Desmond ""Des"" Abbott",M,21,184,87,Hockey,Hockey Men's Hockey,Bronze
153,Monica Cecilia Abbott,F,23,191,88,Softball,Softball Women's Softball,Silver
165,Nia Nicole Abdallah,F,20,175,56,Taekwondo,Taekwondo Women's Featherweight,Silver
297,Lala Abdul Rashid,M,38,169,91,Hockey,Hockey Men's Hockey,Gold
298,Muhammad Abdul Rashid,M,23,181,72,Hockey,Hockey Men's Hockey,Silver
316,Zagalav Abdulbekovich Abdulbekov,M,26,160,62,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
339,Namiq Yadulla Abdullayev,M,25,167,55,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
351,Julius Shareef Abdur-Rahim,M,23,202,104,Basketball,Basketball Men's Basketball,Gold
359,Andrey Khakimovich Abduvaliyev,M,26,190,125,Athletics,Athletics Men's Hammer Throw,Gold
391,Clarence John Abel,M,23,185,102,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
411,Gezahgne Abera,M,22,166,58,Athletics,Athletics Men's Marathon,Gold
416,Nils Georg berg,M,19,181,78,Athletics,Athletics Men's Long Jump,Bronze
423,Michael Brent Abernathy,M,22,182,84,Baseball,Baseball Men's Baseball,Gold
454,"Edgar Allen ""Ed"" Ablowich",M,19,182,68,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
495,Alaaeldin Ahmad El-Sayyid Abouelkassem,M,21,188,87,Fencing,"Fencing Men's Foil, Individual",Silver
507,Attila brahm,M,21,192,88,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
527,Erik Adolf Efraim Abrahamsson,M,22,172,61,Athletics,Athletics Men's Long Jump,Bronze
543,Pavel Sergeyevich Abramov,M,25,198,89,Volleyball,Volleyball Men's Volleyball,Bronze
547,Nelli Mikhaylovna Abramova,F,24,171,60,Volleyball,Volleyball Women's Volleyball,Silver
576,"Alejandro ""lex"" Abrines Redondo",M,23,198,93,Basketball,Basketball Men's Basketball,Bronze
582,Saypulla Atavovich Absaidov,M,22,168,68,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
583,Julien Absalon,M,23,180,68,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
608,Ahmad Abughaush,M,20,178,68,Taekwondo,Taekwondo Men's Featherweight,Gold
619,Magomedgasan Mingazhutdinovich Abushev,M,20,170,62,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
629,William Accambray,M,24,194,104,Handball,Handball Men's Handball,Gold
646,Anibl Santiago Acevedo,M,21,176,67,Boxing,Boxing Men's Welterweight,Bronze
654,Daniel Aceves Villagrn,M,19,158,52,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
669,Joachim Yaw Acheampong,M,18,181,73,Football,Football Men's Football,Bronze
670,Alfred Achermann,M,24,176,75,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
673,Abdel Hak Achik,M,29,165,54,Boxing,Boxing Men's Featherweight,Bronze
